iter	MAE	RMSE
478	0.5380717272	0.7304487023
479	0.5380717764	0.7304486888
480	0.5379128435	0.730263096
481	0.5378539723	0.730212383
482	0.5377324423	0.7300788613
483	0.537680766	0.7300130669
484	0.53763396	0.7299957793
485	0.5375160418	0.7298390963
486	0.5373923056	0.7296653401
487	0.5373170549	0.7295896845
488	0.5370884608	0.7293062989
489	0.5369945922	0.7292273694
490	0.5368775355	0.7290755923
491	0.5366943737	0.7288109172
492	0.5366383968	0.7287206832
493	0.5365560638	0.7285635794
494	0.536406901	0.728378923
495	0.5361866474	0.728107608
496	0.5360189112	0.7278926966
497	0.5358298411	0.727636206
498	0.5358298394	0.7276353473
499	0.535708745	0.7274923292
500	0.535624124	0.727381873
501	0.5355235494	0.7272080927
502	0.5353321881	0.7269495571
503	0.5351729984	0.7267786719
504	0.5351037044	0.7266693683
505	0.535002072	0.7266137209
506	0.534889838	0.7264700246
507	0.5348898351	0.726469206
508	0.5347828796	0.7263469578
509	0.5344855995	0.7260311969
510	0.534375922	0.7258214581
511	0.5342192427	0.725630609
512	0.5340420356	0.7253848564
513	0.5339832425	0.7253121272
514	0.5337352558	0.7249974938
515	0.5336141373	0.7248736097
516	0.5333960368	0.7245380035
517	0.5333307713	0.7244793956
518	0.5332171094	0.7242961979
519	0.5330599846	0.7240265484
520	0.5330600414	0.7240265303
521	0.532872439	0.7238035566
522	0.5327517623	0.7236105027
523	0.532699612	0.7235041247
524	0.5326793289	0.7234210213
525	0.5326433782	0.7233411458
526	0.5325049471	0.7231468294
527	0.5323687087	0.7230117188
528	0.5321283643	0.7226931582
529	0.5320352539	0.722589252
530	0.5320294208	0.7225814304
531	0.5320158172	0.722560068
532	0.5319440097	0.7224506004
533	0.531787826	0.7222847642
534	0.5315643643	0.7220283591
535	0.5314435278	0.721904465
536	0.5313811904	0.7218648713
537	0.5312047093	0.7216719489
538	0.5310524786	0.7214905911
539	0.5309419023	0.7213399401
540	0.5309059219	0.7212537881
541	0.5307538011	0.7209200742
542	0.5305048033	0.7204842586
543	0.5303902476	0.7202579158
544	0.5301142252	0.7198855635
545	0.5300496627	0.7197864858
546	0.5298916496	0.7195640103
547	0.529814333	0.7194733834
548	0.5297202908	0.7193662263
549	0.5297203052	0.7193653913
550	0.5296483945	0.7192812715
551	0.5295558473	0.7191721718
552	0.5295172636	0.7191120293
553	0.5295172814	0.719111212
554	0.5293881951	0.7189521199
555	0.529338174	0.7188545962
556	0.5292579822	0.7187545996
557	0.5291121025	0.7185742145
558	0.5289575292	0.7184010647
559	0.5288201577	0.7182270945
560	0.5288201716	0.7182262881
561	0.5285635855	0.7179251837
562	0.5282613259	0.7174964236
563	0.5282714457	0.7174798003
564	0.52815726	0.7173319837
565	0.5280831323	0.7172247077
566	0.5279010476	0.7169810964
567	0.5278359843	0.7169345968
568	0.5278390934	0.7169332691
569	0.5277435635	0.716840953
570	0.5277436867	0.7168409323
571	0.527603553	0.7167036412
572	0.5275303386	0.7165690964
573	0.5273201793	0.7163152878
574	0.5271986955	0.7161406223
575	0.5271465908	0.7160791698
576	0.5271432229	0.716044332
577	0.5270560303	0.715925662
578	0.5269673605	0.7158270568
579	0.5268577939	0.715702146
580	0.5268059538	0.7155900556
581	0.5267863899	0.7155716826
582	0.5267093836	0.7155286508
583	0.5266413173	0.7154193018
584	0.526641538	0.7154192845
585	0.5264244732	0.7152119881
586	0.5263670797	0.7151320101
587	0.5261944194	0.7149499138
588	0.5260997209	0.7148014334
589	0.5260211672	0.714659958
590	0.5259425508	0.7144923203
591	0.5258142134	0.7142954186
592	0.5256743168	0.7141034975
593	0.5255927393	0.7139769184
594	0.5254900372	0.7138196013
