iter	Passed	Remaining
1351	55133	26424
1352	55174	26384
1353	55212	26342
1354	55249	26299
1355	55289	26258
1356	55328	26216
1357	55367	26175
1358	55404	26132
1359	55442	26090
1360	55480	26048
1361	55525	26009
1362	55579	25975
1363	55620	25934
1364	55660	25893
1365	55699	25851
1366	55737	25809
1367	55861	25807
1368	55900	25765
1369	55940	25724
1370	55977	25681
1371	56013	25638
1372	56046	25594
1373	56088	25554
1374	56134	25515
1375	56172	25473
1376	56222	25436
1377	56256	25393
1378	56289	25348
1379	56324	25305
1380	56366	25264
1381	56404	25222
1382	56445	25182
1383	56484	25140
1384	56526	25100
1385	56562	25057
1386	56610	25019
1387	56649	24977
1388	56689	24936
1389	56728	24895
1390	56769	24854
1391	56810	24813
1392	56851	24772
1393	56905	24737
1394	56941	24695
1395	56977	24652
1396	57026	24614
1397	57064	24572
1398	57102	24530
1399	57137	24487
1400	57174	24444
1401	57212	24402
1402	57251	24361
1403	57287	24318
1404	57327	24277
1405	57374	24239
1406	57414	24198
1407	57460	24159
1408	57497	24117
1409	57537	24075
1410	57574	24033
1411	57616	23993
1412	57653	23951
1413	57692	23909
1414	57734	23868
1415	57769	23825
1416	57809	23784
1417	57854	23745
1418	57892	23703
1419	57970	23678
1420	58012	23637
1421	58053	23597
1422	58091	23555
1423	58126	23511
1424	58168	23471
1425	58204	23428
1426	58241	23386
1427	58281	23345
1428	58328	23306
1429	58365	23264
1430	58402	23222
1431	58442	23180
1432	58484	23140
1433	58523	23099
1434	58562	23057
1435	58598	23014
1436	58637	22973
1437	58674	22931
1438	58717	22891
1439	58758	22850
1440	58796	22808
1441	58834	22766
1442	58873	22725
1443	58916	22685
1444	58963	22646
1445	59021	22612
1446	59061	22571
1447	59099	22529
1448	59140	22489
1449	59178	22446
1450	59216	22405
1451	59254	22363
1452	59293	22321
1453	59327	22278
1454	59384	22243
1455	59422	22201
1456	59462	22160
1457	59505	22120
1458	59546	22079
1459	59589	22040
1460	59630	21999
1461	59673	21959
1462	59715	21918
1463	59753	21876
1464	59793	21835
1465	59830	21793
1466	59868	21751
1467	59904	21709
1468	59947	21669
1469	60021	21640
1470	60059	21598
1471	60095	21556
1472	60133	21514
1473	60176	21474
1474	60216	21432
1475	60257	21392
1476	60292	21349
1477	60332	21308
1478	60394	21274
1479	60449	21239
1480	60487	21197
1481	60525	21155
1482	60566	21114
1483	60611	21075
1484	60659	21036
1485	60698	20995
1486	60739	20954
1487	60778	20913
1488	60816	20871
1489	60856	20830
1490	60895	20788
1491	60935	20747
1492	60985	20709
1493	61083	20688
1494	61153	20657
1495	61244	20633
1496	61315	20602
1497	61380	20569
1498	61457	20540
1499	61519	20506
1500	61580	20472
1501	61653	20441
1502	61720	20409
1503	61788	20376
1504	61856	20344
1505	61912	20308
1506	61980	20276
1507	62041	20241
1508	62171	20229
1509	62228	20193
1510	62354	20179
1511	62414	20144
1512	62473	20108
1513	62535	20074
1514	62597	20039
1515	62675	20009
1516	62772	19986
1517	62859	19959
1518	62926	19926
1519	62996	19893
1520	63056	19858
1521	63123	19824
1522	63242	19807
1523	63446	19816
1524	63518	19784
1525	63588	19751
1526	63667	19721
1527	63730	19686
1528	63811	19656
1529	63879	19623
1530	63941	19587
1531	63990	19548
1532	64041	19509
1533	64092	19469
1534	64137	19429
1535	64196	19392
1536	64246	19353
1537	64303	19316
1538	64350	19275
1539	64417	19241
1540	64453	19198
1541	64493	19155
1542	64538	19114
1543	64577	19072
1544	64614	19028
1545	64655	18986
1546	64692	18943
1547	64733	18901
1548	64769	18858
1549	64817	18817
1550	64856	18775
1551	64893	18732
1552	64933	18689
1553	64972	18647
1554	65010	18604
1555	65046	18560
1556	65090	18519
1557	65136	18479
1558	65178	18437
1559	65230	18398
1560	65272	18356
1561	65309	18313
1562	65349	18271
1563	65386	18227
1564	65452	18192
1565	65487	18149
1566	65524	18105
1567	65563	18063
1568	65600	18020
1569	65637	17977
1570	65679	17935
1571	65723	17894
1572	65766	17852
1573	65820	17814
1574	65860	17771
1575	65896	17728
1576	65934	17685
1577	65972	17642
1578	66013	17600
1579	66057	17559
1580	66094	17516
1581	66131	17473
1582	66169	17430
1583	66214	17389
1584	66253	17347
1585	66291	17304
1586	66326	17260
1587	66364	17217
1588	66405	17175
1589	66443	17133
1590	66511	17098
1591	66551	17055
1592	66591	17013
1593	66626	16970
1594	66663	16927
1595	66702	16884
1596	66739	16841
1597	66774	16798
1598	66810	16754
1599	66860	16715
1600	66906	16674
1601	66947	16632
1602	66990	16590
1603	67032	16549
1604	67071	16506
1605	67109	16464
1606	67147	16421
1607	67183	16378
1608	67219	16334
1609	67257	16292
1610	67300	16250
1611	67349	16210
1612	67388	16168
1613	67432	16127
1614	67472	16084
1615	67513	16042
1616	67588	16008
1617	67624	15965
1618	67664	15923
1619	67703	15881
1620	67740	15838
1621	67774	15794
1622	67814	15752
1623	67854	15710
1624	67892	15667
1625	67934	15625
1626	67985	15586
1627	68023	15543
1628	68060	15500
1629	68098	15457
1630	68136	15415
1631	68177	15373
1632	68225	15332
1633	68266	15291
1634	68304	15248
1635	68344	15206
1636	68387	15164
1637	68424	15121
1638	68462	15079
1639	68501	15036
1640	68540	14994
1641	68584	14953
1642	68655	14917
1643	68693	14875
1644	68729	14832
1645	68767	14789
1646	68804	14746
1647	68841	14703
1648	68881	14661
1649	68917	14618
1650	68956	14576
1651	68993	14533
1652	69043	14493
1653	69079	14450
1654	69118	14408
1655	69156	14365
1656	69195	14323
1657	69231	14280
1658	69272	14238
1659	69311	14196
1660	69348	14153
